,0
0,1
1,31
2,35
3,36
4,37
5,73
6,75
7,78
8,80
9,99
10,103
11,109
12,132
13,146
14,190
15,196
16,198
17,202
18,215
19,216
20,228
21,239
22,245
23,247
24,250
25,251
26,252
27,259
28,261
29,268
30,273
31,276
32,277
33,283
34,287
35,291
36,319
37,324
38,333
39,341
40,369
41,376
42,377
43,388
44,397
45,404
46,414
47,419
48,440
49,443
50,451
51,455
52,461
53,481
54,500
55,507
56,510
57,522
58,532
59,534
60,581
61,582
62,592
63,613
64,617
65,620
66,659
67,674
68,677
69,685
70,687
71,694
72,696
73,698
74,704
75,707
76,710
77,711
78,723
79,736
80,756
81,757
82,774
83,780
84,800
85,801
86,802
87,809
88,837
89,851
90,857
91,859
92,868
93,873
94,875
95,877
96,878
97,899
98,919
99,927
100,928
101,942
102,944
103,945
104,964
105,965
106,979
107,990
108,999
109,1004
110,1008
111,1026
112,1039
113,1047
114,1084
115,1094
116,1098
117,1103
118,1106
119,1127
120,1131
121,1135
122,1136
123,1150
124,1152
125,1157
126,1162
127,1174
128,1186
129,1219
130,1231
131,1255
132,1262
133,1269
134,1278
135,1281
136,1295
137,1318
138,1343
139,1360
140,1362
141,1373
142,1395
143,1399
144,1416
145,1454
146,1466
147,1471
148,1485
149,1486
150,1497
151,1499
152,1500
153,1508
154,1529
155,1531
156,1532
157,1547
158,1555
159,1556
160,1578
161,1580
162,1588
163,1596
164,1600
165,1603
166,1622
167,1623
168,1633
169,1637
170,1657
171,1673
172,1687
173,1712
174,1729
175,1732
176,1742
177,1747
178,1749
179,1782
180,1783
181,1787
182,1790
183,1801
184,1811
185,1820
186,1827
187,1835
188,1837
189,1848
190,1854
191,1855
192,1862
193,1865
194,1876
195,1895
196,1906
197,1915
198,1948
199,1973
200,1980
201,1984
202,1992
203,1997
204,2009
205,2033
206,2042
207,2050
208,2107
209,2131
210,2142
211,2144
212,2148
213,2156
214,2162
215,2169
216,2171
217,2175
218,2176
219,2180
220,2183
221,2186
222,2202
223,2235
224,2245
225,2250
226,2274
227,2279
228,2280
229,2283
230,2287
231,2301
232,2302
233,2308
234,2311
235,2340
236,2344
237,2349
238,2350
239,2354
240,2372
241,2374
242,2383
243,2391
244,2405
245,2412
246,2426
247,2436
248,2441
249,2465
